Temperature,Humidity,Solar_Radiation,Temperature_Pred,Humidity_Pred,Solar_Radiation_Pred
26.4,82.4,0.0,26.104898,83.27607,0.66679764
30.9,69.6,774.0,30.929691,68.62106,732.65735
29.1,79.3,7.0,29.043207,79.53653,21.342703
24.4,90.9,0.0,24.165213,90.79017,1.1691909
27.1,83.4,65.0,26.476187,84.49924,43.597225
31.6,68.6,717.0,31.447758,71.15588,689.0673
23.9,85.9,0.0,23.783115,86.15708,0.0
28.8,75.3,0.0,28.752567,75.98989,0.5861391
26.2,82.8,0.0,26.493784,81.01858,1.0866743
28.4,72.2,346.0,28.456615,72.238335,343.47748
27.8,79.3,0.0,27.997763,79.921234,0.0
28.2,70.0,790.0,28.119812,69.88787,763.345
31.3,65.7,781.0,31.758413,64.68719,781.59534
33.5,63.5,357.0,32.39609,65.67928,731.3406
25.2,75.0,568.0,25.2092,75.58284,539.06586
31.7,65.7,443.0,31.95573,67.297676,424.4802
26.2,80.0,0.0,26.203363,81.69909,0.084943704
30.7,72.7,89.0,30.499283,72.91923,88.676994
26.6,80.1,0.0,26.741278,79.83427,0.61112595
24.4,89.8,0.0,24.450018,89.202644,0.01320865
30.3,71.5,767.0,30.705679,68.95745,720.692
26.7,78.2,0.0,26.812159,77.71797,0.32173577
28.9,77.7,5.0,29.179459,76.814156,23.96578
31.2,68.4,775.0,31.305178,68.05111,763.786
26.8,79.4,0.0,26.703947,80.91696,0.9966892
24.4,90.6,91.0,24.180168,90.71833,51.420574
32.7,58.7,811.0,32.599983,61.94849,786.97723
25.7,91.5,436.0,25.777296,89.94041,427.18335
27.0,80.6,0.0,27.280527,79.24638,0.0
28.3,78.6,0.0,28.520714,76.60067,0.5908599
26.1,86.5,0.0,26.263145,85.86152,0.2776161
26.0,84.8,0.0,26.046673,84.8871,0.0
25.8,82.0,355.0,25.712189,81.92185,363.50708
24.3,91.1,0.0,24.148127,90.79017,6.1469283
28.6,78.3,0.0,28.67966,77.5432,0.0
23.0,89.0,0.0,23.096079,88.46767,0.45317566
30.9,69.5,763.0,31.549273,67.96773,757.8258
30.7,63.3,499.0,30.88422,64.03267,502.68295
28.9,75.2,47.0,29.049652,74.586685,70.869286
27.9,70.7,811.0,28.194834,69.03927,813.43274
23.6,88.5,0.0,23.663166,88.252625,0.0
27.8,80.4,0.0,27.375494,81.42852,0.14244393
26.5,82.7,0.0,26.26584,82.88211,0.66679764
26.7,82.2,26.0,26.986017,81.148575,37.387978
25.1,87.2,0.0,25.017416,87.84949,0.76241946
27.7,79.5,0.0,27.979244,79.06666,0.0041573048
28.5,77.4,0.0,28.443642,76.97736,0.0
32.4,63.9,795.0,32.48184,61.234154,801.7559
32.0,63.6,362.0,31.778692,66.40797,340.81995
32.1,69.6,311.0,32.053654,68.929665,316.93762
32.3,66.8,645.0,32.220802,66.857414,629.9516
26.5,79.0,0.0,26.564287,80.108955,0.61112595
27.7,80.7,0.0,27.87778,78.150764,0.0041573048
27.1,78.5,0.0,26.794767,79.939095,0.555719
26.1,82.3,0.0,26.00139,83.25391,2.9066107
26.8,77.2,0.0,26.599773,77.89074,0.0041573048
25.7,84.1,0.0,25.614624,84.810425,0.0
30.7,64.8,635.0,30.798859,66.121315,609.59467
27.5,78.4,0.0,27.373102,77.095665,0.0
31.2,69.3,668.0,31.406406,67.92716,640.11774
28.8,74.1,0.0,28.289536,76.99134,0.5908599
25.2,88.7,0.0,25.03846,88.68797,0.0
28.2,79.2,0.0,28.344944,78.03093,0.0
29.3,74.3,0.0,29.494967,72.30739,0.0
30.0,70.5,28.0,29.875973,70.83263,29.789816
29.7,77.6,84.0,30.278208,76.15137,140.59009
26.9,82.1,56.0,26.998829,81.148575,39.851612
31.6,66.4,607.0,31.915228,65.10354,575.49976
25.8,81.6,360.0,25.735437,81.81905,363.50708
28.2,78.1,0.0,28.382177,78.00961,0.0
24.0,85.9,0.0,23.916107,86.33772,0.0
32.8,59.3,691.0,32.34305,62.0224,665.53906
31.0,68.1,594.0,30.236748,70.85897,545.98175
28.2,78.5,0.0,27.998253,79.13449,0.0
28.6,76.6,0.0,28.411438,77.3209,0.0
25.1,86.6,0.0,25.37603,86.40457,0.0
23.8,88.6,0.0,23.663166,88.252625,0.0
30.1,69.6,779.0,30.141022,70.59354,795.1894
25.3,84.7,10.0,25.551996,84.92213,43.815765
28.2,73.5,432.0,28.507113,73.731285,437.2378
26.5,79.9,0.0,26.741278,80.54338,0.61112595
28.2,78.9,0.0,28.354048,78.027985,0.0
25.2,87.0,0.0,24.908709,87.84949,0.76241946
28.4,78.0,0.0,28.520714,76.60067,0.5908599
28.0,79.4,0.0,27.998253,79.13449,0.0
23.5,88.0,0.0,23.447405,87.93308,0.16378555
26.0,86.6,0.0,26.24415,85.6897,1.7671083
29.4,64.8,768.0,29.192135,65.9633,747.4371
28.7,77.5,0.0,29.127264,75.96036,0.5760031
28.1,75.9,19.0,28.389706,75.44461,32.11968
24.1,90.0,0.0,24.305756,89.34137,1.3518121
25.9,72.5,615.0,25.881802,72.85137,605.85114
34.4,55.5,747.0,34.444016,55.918076,758.7888
27.5,81.7,0.0,27.430744,80.99733,0.27196643
27.7,76.9,302.0,27.671976,78.09273,194.63579
25.0,89.0,0.0,24.85846,89.135605,0.0
28.7,72.5,462.0,28.664501,73.08371,465.8512
31.3,66.5,274.0,30.829668,68.40961,752.01636
32.3,68.2,779.0,31.934574,69.0235,784.7588
28.9,79.8,0.0,28.755396,79.334564,0.5861391
35.3,58.0,702.0,34.629635,60.065605,692.364
28.8,78.4,0.0,28.71153,78.992905,0.5861391
33.7,61.4,679.0,33.900974,61.91798,679.4291
30.3,70.7,568.0,30.055557,71.84374,535.5395
26.2,81.0,0.0,26.138353,81.59097,0.084943704
25.5,84.5,0.0,24.887897,82.80978,0.37037233
28.2,80.2,0.0,28.176651,80.10027,0.0
28.7,73.9,0.0,28.66822,75.47525,0.25283352
30.5,71.6,378.0,29.97523,73.70588,380.78928
29.3,79.1,45.0,29.440687,78.23482,28.246622
26.3,82.2,100.0,26.31559,83.43383,55.088722
24.3,92.2,70.0,24.295073,91.86685,96.681816
28.4,76.2,600.0,28.54557,74.88025,590.0467
25.8,84.2,0.0,26.126665,83.47755,0.29223242
27.2,79.8,0.0,27.05341,80.68623,0.42787257
23.4,88.0,0.0,23.357494,87.960594,0.45317566
27.5,77.2,0.0,27.390226,76.40664,0.0
27.8,77.0,0.0,27.881832,77.27678,0.0
26.9,76.3,279.0,26.816845,75.98937,263.50754
24.0,85.9,0.0,23.851772,86.33772,0.0
24.7,87.9,0.0,24.811388,88.25494,1.0518095
25.8,88.2,0.0,25.797312,88.038734,0.0
30.7,72.5,779.0,30.521866,71.75401,714.684
34.2,49.4,726.0,33.981644,50.413536,711.51935
